SOP Redressal Tracker,,,,,,,,,,,
,,,,,,,,,,,
L3 category,L4s covered (Agents),scenarios,L1 SOP,Redressal flow type,escalation criteria,L2 SOP,functional team dependency,TAT,Function team POCs,Coverage key (links Coverage Map),Template
Losses & Debits,,Shortage Loss – Common L1 checks (apply to S1–S5),"1. Verify the Captain entered the correct AWB numbers; if not, request correct inputs.
2. Open the Valmo Lost Data query (Metabase) and check lost attribution vs the AWB ('Remarks' shows if attribution is pending).
3. Cross-validate using the Shortage SOP and Log10 detailed scans against the AWBs.
4. Check the Shortage Data Query to confirm evidence/reply mails were sent to both partners; if not, requeue to both / the respective hubs.",,,,,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Shortage Loss – S1: Evidence/reply mails not sent to one or all partners,Requeue the evidence mails to the partner(s) via escalation.,neutral flow,Direct L1→L3 escalation on Kapture (requeue evidence mails).,,Hub/sortation partners,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Shortage Loss – S2: Captain unable to mark shortage for shipment,"1. Check the vehicle arrival timestamp.
2. Confirm the ticket was raised within 24h of arrival (marked/assigned_location_ticket_status = CLOSED per Shortage SOP).
3. If SOP followed → treat as tech/system issue (template).
4. Else → reply with the rejection template.",,Tech team if SOP followed (system issue).,,Tech,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,"Shortage Loss – S3: One partner shared evidence, the other has not","Attribute the loss to the partner that did not share evidence within SLA (status = SLA BREACHED, not CLOSED).",,,,Hub partners,,,D-LD-01,
Losses & Debits,Shortage Loss is marked on me even after I submitted evidence.,Shortage Loss – S4: Both partners shared evidence; loss marked on one – partner contesting,"1. Escalate to the trained evidence-validation team.
2. If evidence is valid, escalate with the correct remark + evidence.",,Escalate to evidence-validation team; then reversal escalation if valid.,,Evidence-validation team; Losses functional team,,,"D-LD-01,D-LD-03",
Losses & Debits,Wrong loss is marked on me.,Shortage Loss – S5: Captain claims wrong email ID was shared,Respond: “You should have intimated this previously.”,,,,,,,D-LD-01,
Losses & Debits,,Hardstop – Common L1 checks (apply to S1.1–S12),"1. Verify the Captain entered the correct AWB numbers; if not, request correct inputs.
2. Open the Valmo Lost Data query (Metabase) and check lost attribution vs the AWB ('Remarks' shows if pending).
3. Cross-validate using the Hardstop SOP and Log10 detailed scans.
4. For scans at PCXX nodes (Packaging Centers), shipments were consolidated under a parent AWB — process the parent AWB (find it via Single AWB Tracking).",,,,Losses functional team,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S1.1: Wrong loss; scans valid; Hardstop SOP followed,"1. Check Log10 scans + Hardstop SOP (forward connection within 5 days reverse / 7 days forward).
2. Raise for reversal to the respective L2.",,Reversal escalation to respective L2.,,Losses functional team,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S1.2: Wrong loss; scans valid; Hardstop SOP NOT followed,"1. Check Log10 + the Hardstop rule.
2. Reply: reversal not applicable due to Hardstop SOP breach.",,,,,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S2: Wrong loss; scans invalid (wrong destination),"1. Check Log10 scans.
2. Reply: reversal not applicable due to wrong connection (template).",,,,,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S3: Fails to connect after Customer Rejection,"1. Check scans on Single AWB Tracking / Log10.
2. If no forward connection within the RTO connection timeline → reply reversal not applicable (template).",,,,,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S4: Fails to connect after Customer Unreachable,"1. Check Log10 scans.
2. If not delivered within 7 days → reply reversal not applicable (template).",,,,,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S5: Customer denies cancellation OTP,"1. Check Log10 scans.
2. If no 3 attempts within 7 days and not delivered within 7 days → reply reversal not applicable (template).",,,,,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S6: Customer wants shipment post 7 days,"1. Check Log10 scans.
2. If no 3 attempts within 7 days and not delivered → reply loss not reversible (template); 3 delivery attempts required.
3. Advise the Captain to tell the customer to cancel & reorder.",,,,,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S7: Shipment delivered but couldn't be marked,Reply: take up directly with the tech team with relevant proof (template).,,Tech team (with proof).,,Tech,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S8.1: Not inscanned back to hub – amount recovered from FE,"1. Check the LM FE Loss Marked query; confirm the amount was recovered from the FE.
2. Escalate the ticket for reversal to the respective L2.
3. Reply that loss will be reversed (template).",,Reversal escalation to respective L2.,,Losses functional team; FE payout,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S8.2: Not inscanned back to hub – amount NOT recovered from FE,"1. Check the LM FE Loss Marked query (amount not recovered) and Log10 last status = Consignment_Lost.
2. If both true → escalate for reversal to L2.
3. Reply that loss will be reversed (template).",,Reversal escalation to respective L2.,,Losses functional team,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S9.1: Awaited instruction – Seller Dependency SOP breached,"1. Check Valmo Lost Data (Metabase) for the date instructions were sent.
2. Check Log10 attempts vs the Seller Dependency SOP.
3. SOP breached → reply no reversal.",,,,,,,D-LD-01,
Losses & Debits,Wrong loss is marked on me.,Hardstop – S9.2: Awaited instruction – Seller Dependency SOP followed,"1. Check Valmo Lost Data (Metabase) for the instruction date.
2. Check Log10 attempts vs the Seller Dependency SOP.
3. SOP followed → reply reversal applicable; escalate to L2 (template).",,Reversal escalation to respective L2.,,Losses functional team,,,D-LD-01,
Losses & Debits,Losses are marked on me for misrouted shipments.,Hardstop – S10: Wrong shipment/bag received (misrouted – hardstop marked),"1. Check scans (Log10 / Bag ID tracking — enter AWBs individually).
2. Misroute SOP requires routing to the correct hub within 2 days.
3. Deadline missed → hardstop marked, no reversal.",,,,,,,"D-LD-01,D-LD-05",
Losses & Debits,Losses are marked on me for misrouted shipments.,Hardstop – S11.1: Shipments correctly misrouted,"1. Enter shipments in Log10; check scans.
2. Confirm MISROUTE scan is within 2 days of the previous scan (valid).
3. Escalate to L2 for reversal.",,Reversal escalation to L2.,,Losses functional team,,,"D-LD-01,D-LD-05",
Losses & Debits,Losses are marked on me for misrouted shipments.,Hardstop – S11.2: Shipments incorrectly misrouted,"1. Enter shipments in Log10; check scans.
2. Misroute allowed max twice; loss stays on the original hub.
3. Reply no reversal (template).",,,,,,,"D-LD-01,D-LD-05",
Losses & Debits,Wrong loss is marked on me.,Hardstop – S12: Shipment damaged (scan issues),"1. Inform the partner to fill the damage form: https://docs.google.com/spreadsheets/d/1ZdrSnMR3sbx5kgd5CX1C-SrkVxcTuKNcT8491pzH0bY/edit?resourcekey=&gid=1276904803#gid=1276904803
2. Ticket escalated directly to L3, who reviews the form + evidence and reverses any loss marked.",,Direct L3 escalation (damage form + evidence review).,,L3 (damage review),,,D-LD-01,
Losses & Debits,I received a hardstop alert email even though the shipment has already been processed.,Intimation -- S1: Hardstop mail received,"1. same checks to be run
2. Inform the partner that it is just an intimation mechanism, it is likely that loss will not be marked.
3. Further inform the partner that they should reach out to us if the loss is marked",,,,,,,D-LD-02,
Losses & Debits,I need more clarity on the processes related to losses.,Clarity -- S1: Clarity required on the loss applied,"1. agent must check the loss applied if hardstop or shortage.
 2. Share the SOPs for loss marking process for the marked loss.",,,,,,,D-LD-04,
Losses & Debits,My reversals are delayed and not yet processed.,Reversal -- S1: Reversal status enquiry,Direct escalation - L2,,,"1. L2 agent must review the loss marked on the shipment.
2. review the reversal marked in the reversal tracker with the date
3. contact the losses team POC for the processing of the loss.
4. since this affects the ART situiation to be escalated to management.",L3 - losses,,,D-LD-06,
Losses & Debits,Loss is marked even after I have shared QC images,QC failure,"Step 1: Identify the loss marked AWB* When the Captain raises a request stating that the FE has been marked with a wrong loss, the agent needs to first enter the **FE ID or Phone Number** in query:https://metabase-main.bi.meeshogcp.in/question/187207-qc-fail* Apply the **exact time range** when the loss was marked.* The Captain will share the **loss marked amount**.* The agent needs to locate the same amount on the mentioned date and identify the **AWB number** against which the loss was marked.
Step 2: Check the debit reason* Enter the identified **AWB number** in query:https://metabase-main.bi.meeshogcp.in/question/187207-qc-fail* Check the **debit_reason** column.* The possible debit reasons are:* LM Secondary QC junk image* Pickup junk image* ICUD junk image* Pickup vs QC image mismatch.
Step 3: Identify the node where loss was marked* If the debit reason is **LM Secondary QC junk image** → Loss is marked on the **LM Hub**.* If the debit reason is **Pickup junk image** → Loss is marked on the **LM FE (Pickup FE)**.* If the debit reason is **ICUD junk image** → Loss is marked on the **LM FE (ICUD FE - Forward leg)**.* If the debit reason is **Pickup vs QC image mismatch** → Loss is marked on the **LM FE**.
Step 4: Validate images and take action* The agent needs to review the images captured at the respective node where the loss was marked.* Check whether the entity has followed the required SOP.* If the entity has followed the SOP → The marked loss will be reversed.* If the entity has not followed the SOP → The loss will be considered valid and the entity will bear the loss.",,Direct L2 escaltion if a image mismatch is ientified by L1 agent,"1. L2 agent must review the ticket and the loss marked.
2. If the loss is correctly marked then response to captain
3. If the loss is rightly contested then L2 agent must raise it for reversal on the dashboard made by the SX team.
4. SX team is to check the loss and confirm the re-attribution within 48 hours.",L3 - SX claims,,,D-LD-08,
Orders & Planning,Hub has good performance but receiving low load (4.2.1),Forward Leg,"1. Enter the hub code in the Orders & Planning View query.
2. Reply per the 'L1_remarks' column (e.g., improve RTO performance by x%; load grows with polygon demand) using the template.
3. Escalate to L2.",Unhappy,Escalate to L2.,"1. Run the Orders & Planning View query to get the user pin.
2. Search the user pin in Signal Superset.
3. Generate a weekly volume-loss-driver summary with mapped teams; download it.
4. Consolidate user-pin data into the Feedback Loop Repository (Excel); share weekly on the Partner Support group.",,,,D-OP-01,
Orders & Planning,Current load lower than promised load (4.2.2),Forward Leg,"1. Enter the hub code in the Orders & Planning View query.
2. Reply per 'L1_remarks' (improve RTO performance by x%; load grows with polygon demand) using the template.
3. Escalate to L2.",Unhappy,Escalate to L2.,"1. Run the query to get the user pin.
2. Search the user pin in Signal Superset.
3. Weekly volume-loss-driver summary with mapped teams.
4. Consolidate into Feedback Loop Repository; share weekly.",,,,D-OP-02,
Orders & Planning,Hub has high load fluctuation (4.2.3),Forward Leg,"1. Enter the hub code in the Orders & Planning View query.
2. Reply per 'L1_remarks' (improve RTO performance by x%; load grows with polygon demand) using the template.
3. Escalate to L2.",Unhappy,Escalate to L2.,"1. Run the query to get the user pin.
2. Search the user pin in Signal Superset.
3. Weekly volume-loss-driver summary with mapped teams.
4. Consolidate into Feedback Loop Repository; share weekly.",Planning team,,,D-OP-03,
