channel_id,message_id,issue_id,intent,source
C08T6NLL77H,1787887800.100000,ISS-C08T6NLL77H-1787887800.100000,dc_closure,synthetic
C08T6NLL77H,1787887937.200000,ISS-C08T6NLL77H-1787887937.200000,line_haul_delay,synthetic
C08T6NLL77H,1787888074.300000,ISS-C08T6NLL77H-1787888074.300000,vehicle_held,synthetic
C08T6NLL77H,1787888211.400000,ISS-C08T6NLL77H-1787888211.400000,load_not_received,synthetic
C08T6NLL77H,1787888348.500000,ISS-C08T6NLL77H-1787888348.500000,line_haul_delay,synthetic
C08T6NLL77H,1787888400.100000,ISS-C08T6NLL77H-1787887800.100000,,synthetic
C08T6NLL77H,1787888485.600000,ISS-C08T6NLL77H-1787888485.600000,negative_payout,synthetic
C08T6NLL77H,1787888537.200000,ISS-C08T6NLL77H-1787887937.200000,,synthetic
C08T6NLL77H,1787888622.700000,ISS-C08T6NLL77H-1787888622.700000,invoice_not_generating,synthetic
C08T6NLL77H,1787888674.300000,ISS-C08T6NLL77H-1787888074.300000,,synthetic
C08T6NLL77H,1787888811.400000,ISS-C08T6NLL77H-1787888211.400000,,synthetic
C08T6NLL77H,1787888948.500000,ISS-C08T6NLL77H-1787888348.500000,,synthetic
C08T6NLL77H,1787889085.600000,ISS-C08T6NLL77H-1787888485.600000,,synthetic
C08T6NLL77H,1787889222.700000,ISS-C08T6NLL77H-1787888622.700000,,synthetic
C08T6NLL77H,1787891400.200000,ISS-C08T6NLL77H-1787891400.200000,line_haul_delay,synthetic
C08T6NLL77H,1787891611.400000,ISS-C08T6NLL77H-1787891611.400000,rto_loss_revocation,synthetic
C08T6NLL77H,1787891822.600000,ISS-C08T6NLL77H-1787891822.600000,UNMAPPED,synthetic
C08T6NLL77H,1787892033.800000,ISS-C08T6NLL77H-1787892033.800000,rto_loss_revocation,synthetic
C08T6NLL77H,1787892245.000000,ISS-C08T6NLL77H-1787892245.000000,UNMAPPED,synthetic
C08T6NLL77H,1787892456.200000,ISS-C08T6NLL77H-1787892456.200000,weather_callout,synthetic
C08T6NLL77H,1787892667.400000,ISS-C08T6NLL77H-1787892667.400000,manpower_shortage,synthetic
C08T6NLL77H,1787892878.600000,ISS-C08T6NLL77H-1787892878.600000,payout_not_received,synthetic
C08T6NLL77H,1787893089.800000,ISS-C08T6NLL77H-1787893089.800000,captain_panel_login,synthetic
C08T6NLL77H,1787893301.000000,ISS-C08T6NLL77H-1787893301.000000,pilot_onboarding,synthetic
C08T6NLL77H,1787972400.500000,ISS-C08T6NLL77H-1787972400.500000,payout_not_received,synthetic
C08T6NLL77H,1787973300.500000,ISS-C08T6NLL77H-1787972400.500000,,synthetic
C08T6NLL77H,1788066001.000000,ISS-C08T6NLL77H-1788066001.000000,vehicle_held,synthetic
C08T6NLL77H,1788066901.000000,ISS-C08T6NLL77H-1788066001.000000,,synthetic
C08T6NLL77H,1788482771.760339,ISS-C08T6NLL77H-1788482771.760339,dc_closure,synthetic
C08T6NLL77H,1788482799.930549,ISS-C08T6NLL77H-1788482799.930549,UNMAPPED,synthetic
C08T6NLL77H,1788483900.114201,ISS-C08T6NLL77H-1788482771.760339,,synthetic
C09JY7YLB3L,1788583323.400000,ISS-C09JY7YLB3L-1788583323.400000,captain_panel_login,synthetic
C08T6NLL77H,1788583370.510000,ISS-C08T6NLL77H-1788583370.510000,captain_panel_login,synthetic
C09JY7YLB3L,1788583623.100000,ISS-C09JY7YLB3L-1788583323.400000,,synthetic
C09JY7YLB3L,1788583713.200000,ISS-C09JY7YLB3L-1788583323.400000,,synthetic
C08T6NLL77H,1788583723.300000,ISS-C08T6NLL77H-1788583370.510000,,synthetic
C09JY7YLB3L,1788583803.300000,ISS-C09JY7YLB3L-1788583323.400000,,synthetic
C09JY7YLB3L,1788583893.400000,ISS-C09JY7YLB3L-1788583323.400000,,synthetic
C08T6NLL77H,1788587323.600000,ISS-C08T6NLL77H-1788583370.510000,,synthetic
